advertiser_id,campaign_id,line_item_id,hourly_budget,device_type_budget_percent,devicetype,bid_hour,win_counts,hourly_spend
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 00:00:00,315,3.104044
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",GAMES_CONSOLE,2023-10-15 00:00:00,5,0.07164
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 00:00:00,224,2.251971
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 00:00:00,615,7.854489
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",TABLET,2023-10-15 00:00:00,40,0.409311
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 01:00:00,14,0.16678
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 01:00:00,5,0.075318
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 01:00:00,135,1.645147
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 02:00:00,1,0.00864
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 02:00:00,17,0.15723
32167,220130,49553,60,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 03:00:00,2,0.02512
