advertiser_id,campaign_id,line_item_id,hourly_budget,device_type_budget_percent,devicetype,bid_hour,win_counts,hourly_spend
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 01:00:00,2,0.02373
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 01:00:00,1,0.017935
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 02:00:00,2,0.021
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",TABLET,2023-10-15 02:00:00,1,0.009
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 03:00:00,1,0.00873
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 03:00:00,3,0.04
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 03:00:00,1,0.009
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 04:00:00,2,0.03051
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 04:00:00,1,0.015
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 05:00:00,3,0.02217
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 05:00:00,2,0.018
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 05:00:00,1,0.015
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 06:00:00,2,0.022
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 06:00:00,1,0.017884
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 07:00:00,3,0.029
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 08:00:00,1,0.016
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 08:00:00,3,0.028178
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 09:00:00,1,0.009
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 09:00:00,3,0.02844
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 10:00:00,3,0.038392
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 10:00:00,4,0.078879
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 11:00:00,3,0.064303
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 11:00:00,3,0.02844
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 11:00:00,1,0.009
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 12:00:00,1,0.00672
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",SET_TOP_BOX,2023-10-15 12:00:00,2,0.037632
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",TABLET,2023-10-15 12:00:00,1,0.015
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",CONNECTED_TV,2023-10-15 13:00:00,2,0.01344
32167,220129,49550,6,"{""CONNECTED_TV"": 96, ""MOBILE"": 1, ""TABLET"": 1, ""PC"": 1, ""UNKNOWN"": 1}",MOBILE,2023-10-15 13:00:00,2,0.018
